Record,Correct,Wrong,Percent,week
13-3,13,3,0.8125,1
15-1,15,1,0.9375,1
13-3,13,3,0.8125,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
8-8,8,8,0.5,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
13-3,13,3,0.8125,1
13-3,13,3,0.8125,1
9-7,9,7,0.5625,1
19-12,19,12,0.6129032258064516,2
22-10,22,10,0.6875,2
20-12,20,12,0.625,2
19-13,19,13,0.59375,2
20-12,20,12,0.625,2
13-19,13,19,0.40625,2
17-15,17,15,0.53125,2
20-12,20,12,0.625,2
19-13,19,13,0.59375,2
21-11,21,11,0.65625,2
14-18,14,18,0.4375,2
20-21,20,21,0.4878048780487805,3
30-18,30,18,0.625,3
27-21,27,21,0.5625,3
27-21,27,21,0.5625,3
26-22,26,22,0.5416666666666666,3
21-27,21,27,0.4375,3
25-23,25,23,0.5208333333333334,3
29-19,29,19,0.6041666666666666,3
27-21,27,21,0.5625,3
28-20,28,20,0.5833333333333334,3
22-26,22,26,0.4583333333333333,3
30-27,30,27,0.5263157894736842,4
41-23,41,23,0.640625,4
37-27,37,27,0.578125,4
37-27,37,27,0.578125,4
38-26,38,26,0.59375,4
30-34,30,34,0.46875,4
36-28,36,28,0.5625,4
37-27,37,27,0.578125,4
36-28,36,28,0.5625,4
38-26,38,26,0.59375,4
31-33,31,33,0.484375,4
41-29,41,29,0.5857142857142857,5
49-28,49,28,0.6363636363636364,5
45-32,45,32,0.5844155844155844,5
45-32,45,32,0.5844155844155844,5
44-33,44,33,0.5714285714285714,5
38-39,38,39,0.4935064935064935,5
42-35,42,35,0.5454545454545454,5
45-32,45,32,0.5844155844155844,5
44-33,44,33,0.5714285714285714,5
46-31,46,31,0.5974025974025974,5
38-39,38,39,0.4935064935064935,5
