team,odds,week
Lions,175,1
Chiefs,-210,1
Cardinals,249,1
Commanders,-308,1
Panthers,156,1
Falcons,-184,1
Bengals,-135,1
Browns,116,1
Texans,360,1
Ravens,-467,1
Jaguars,-236,1
Colts,196,1
49ers,-133,1
Steelers,114,1
Buccaneers,200,1
Vikings,-244,1
Titans,142,1
Saints,-167,1
Packers,-103,1
Bears,-116,1
Rams,184,1
Seahawks,-223,1
Raiders,148,1
Broncos,-175,1
Dolphins,136,1
Chargers,-158,1
Eagles,-188,1
Patriots,160,1
Cowboys,-172,1
Giants,146,1
Bills,-142,1
Jets,121,1
Vikings,253,1
Eagles,-324,1
Ravens,161,1
Bengals,-190,1
Bears,-125,1
Buccaneers,105,1
Packers,103,1
Falcons,-123,1
