Correct,Wrong,Tie,Percent,week
10,6,0,0.625,1
7,9,0,0.4375,1
12,4,0,0.75,1
13,3,0,0.8125,1
10,6,0,0.625,1
9,7,0,0.5625,1
10,6,0,0.625,1
11,5,0,0.6875,1
7,9,0,0.4375,2
5,11,0,0.3125,2
8,8,0,0.5,2
7,9,0,0.4375,2
4,12,0,0.25,2
8,8,0,0.5,2
9,7,0,0.5625,2
7,9,0,0.4375,2
7,9,0,0.4375,3
8,8,0,0.5,3
7,9,0,0.4375,3
8,8,0,0.5,3
5,11,0,0.3125,3
8,8,0,0.5,3
6,10,0,0.375,3
7,9,0,0.4375,3
8,8,0,0.5,4
10,6,0,0.625,4
7,9,0,0.4375,4
9,7,0,0.5625,4
11,5,0,0.6875,4
9,7,0,0.5625,4
7,9,0,0.4375,4
9,7,0,0.5625,4
7,7,0,0.5,5
8,6,0,0.5714285714285714,5
8,6,0,0.5714285714285714,5
7,7,0,0.5,5
6,8,0,0.42857142857142855,5
8,6,0,0.5714285714285714,5
8,6,0,0.5714285714285714,5
8,6,0,0.5714285714285714,5
12,2,0,0.8571428571428571,6
6,8,0,0.42857142857142855,6
13,1,0,0.9285714285714286,6
14,0,0,1,6
12,2,0,0.8571428571428571,6
11,3,0,0.7857142857142857,6
12,2,0,0.8571428571428571,6
12,2,0,0.8571428571428571,6
8,7,0,0.5333333333333333,7
11,4,0,0.7333333333333333,7
11,4,0,0.7333333333333333,7
11,4,0,0.7333333333333333,7
10,5,0,0.6666666666666666,7
11,4,0,0.7333333333333333,7
10,5,0,0.6666666666666666,7
11,4,0,0.7333333333333333,7
9,7,0,0.5625,8
9,7,0,0.5625,8
11,5,0,0.6875,8
9,7,0,0.5625,8
11,5,0,0.6875,8
9,7,0,0.5625,8
10,6,0,0.625,8
10,6,0,0.625,8
