Record,Correct,Wrong,Percent,week
13-3,13,3,0.8125,1
15-1,15,1,0.9375,1
13-3,13,3,0.8125,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
8-8,8,8,0.5,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
13-3,13,3,0.8125,1
13-3,13,3,0.8125,1
9-7,9,7,0.5625,1
6-9,6,9,0.4,2
7-9,7,9,0.4375,2
7-9,7,9,0.4375,2
10-6,10,6,0.625,2
8-8,8,8,0.5,2
5-11,5,11,0.3125,2
8-8,8,8,0.5,2
8-8,8,8,0.5,2
6-10,6,10,0.375,2
8-8,8,8,0.5,2
5-11,5,11,0.3125,2
7-9,7,9,0.4375,3
8-8,8,8,0.5,3
7-9,7,9,0.4375,3
8-8,8,8,0.5,3
6-10,6,10,0.375,3
8-8,8,8,0.5,3
8-8,8,8,0.5,3
9-7,9,7,0.5625,3
8-8,8,8,0.5,3
7-9,7,9,0.4375,3
8-8,8,8,0.5,3
9-5,9,5,0.6428571428571429,4
9-5,9,5,0.6428571428571429,4
8-6,8,6,0.5714285714285714,4
8-6,8,6,0.5714285714285714,4
10-4,10,4,0.7142857142857143,4
7-7,7,7,0.5,4
9-5,9,5,0.6428571428571429,4
7-7,7,7,0.5,4
7-7,7,7,0.5,4
8-6,8,6,0.5714285714285714,4
8-6,8,6,0.5714285714285714,4
