TM1,Score1,vs,TM2,Score2,week
DET,21,-,KC,20,1
ATL,24,-,CAR,10,1
WAS,20,-,ARI,16,1
CLE,24,-,CIN,3,1
BAL,25,-,HOU,9,1
JAC,31,-,IND,21,1
SF,30,-,PIT,7,1
TB,20,-,MIN,17,1
NO,16,-,TEN,15,1
GB,38,-,CHI,20,1
LAR,30,-,SEA,13,1
LV,17,-,DEN,16,1
MIA,36,-,LAC,34,1
PHI,25,-,NE,20,1
DAL,40,-,NYG,0,1
NYJ,22,-,BUF,16,1
PHI,34,-,MIN,28,2
TB,27,-,CHI,17,2
BAL,27,-,CIN,24,2
ATL,25,-,GB,24,2
IND,31,-,HOU,20,2
KC,17,-,JAC,9,2
TEN,27,-,LAC,24,2
BUF,38,-,LV,10,2
SEA,37,-,DET,31,2
SF,30,-,LAR,23,2
NYG,31,-,ARI,28,2
DAL,30,-,NYJ,10,2
WAS,35,-,DEN,33,2
MIA,24,-,NE,17,2
NO,20,-,CAR,17,2
PIT,26,-,CLE,22,2
